Date,Price,FillMean,Price_locf,Price_L,Price_Spline
3/4/2002,3835,3835,3835,3835,3835
3/5/2002,3835,3835,3835,3835,3835
3/6/2002,3835,3835,3835,3835,3835
3/7/2002,3835,3835,3835,3835,3835
3/8/2002,3835,3835,3835,3835,3835
3/9/2002,,4034.512416,3835,3835,3835
3/10/2002,,4034.512416,3835,3835,3835
3/11/2002,3835,3835,3835,3835,3835
3/12/2002,3835,3835,3835,3835,3835
3/13/2002,3835,3835,3835,3835,3835
3/14/2002,3835,3835,3835,3835,3835
3/15/2002,3835,3835,3835,3835,3835
3/16/2002,,4034.512416,3835,3835,3835
3/17/2002,,4034.512416,3835,3835,3835
3/18/2002,3835,3835,3835,3835,3835
3/19/2002,3835,3835,3835,3835,3835
3/20/2002,3835,3835,3835,3835,3835
3/21/2002,3835,3835,3835,3835,3835
3/22/2002,3835,3835,3835,3835,3835
3/23/2002,,4034.512416,3835,3835,3835
3/24/2002,,4034.512416,3835,3835,3835
3/25/2002,3835,3835,3835,3835,3835
3/26/2002,3835,3835,3835,3835,3835
3/27/2002,3835,3835,3835,3835,3835
3/28/2002,3835,3835,3835,3835,3835
3/29/2002,3835,3835,3835,3835,3835
3/30/2002,,4034.512416,3835,3835,3835
3/31/2002,,4034.512416,3835,3835,3835
4/1/2002,3835,3835,3835,3835,3835
4/2/2002,3835,3835,3835,3835,3835
4/3/2002,3835,3835,3835,3835,3835
4/4/2002,3835,3835,3835,3835,3835
4/5/2002,3835,3835,3835,3835,3835
4/6/2002,,4034.512416,3835,3835,3835
4/7/2002,,4034.512416,3835,3835,3835
4/8/2002,3835,3835,3835,3835,3835
4/9/2002,3835,3835,3835,3835,3835
4/10/2002,3835,3835,3835,3835,3835
4/11/2002,3835,3835,3835,3835,3835
4/12/2002,3835,3835,3835,3835,3835
4/13/2002,,4034.512416,3835,3835,3835
4/14/2002,,4034.512416,3835,3835,3835
4/15/2002,3835,3835,3835,3835,3835
4/16/2002,3835,3835,3835,3835,3835
4/17/2002,3835,3835,3835,3835,3835
4/18/2002,3835,3835,3835,3835,3835
4/19/2002,3835,3835,3835,3835,3835
4/20/2002,,4034.512416,3835,3835,3835
4/21/2002,,4034.512416,3835,3835,3835
4/22/2002,3835,3835,3835,3835,3835
4/23/2002,3835,3835,3835,3835,3835
4/24/2002,3835,3835,3835,3835,3835
4/25/2002,3835,3835,3835,3835,3835
4/26/2002,3835,3835,3835,3835,3835
4/27/2002,,4034.512416,3835,3835,3835
4/28/2002,,4034.512416,3835,3835,3835
4/29/2002,3835,3835,3835,3835,3835
4/30/2002,3835,3835,3835,3835,3835
5/1/2002,3835,3835,3835,3835,3835
5/2/2002,3835,3835,3835,3835,3835
5/3/2002,3835,3835,3835,3835,3835
5/4/2002,,4034.512416,3835,3835,3835
5/5/2002,,4034.512416,3835,3835,3835
5/6/2002,3835,3835,3835,3835,3835
5/7/2002,3835,3835,3835,3835,3835
5/8/2002,3835,3835,3835,3835,3835
5/9/2002,3835,3835,3835,3835,3835
5/10/2002,3835,3835,3835,3835,3835
5/11/2002,,4034.512416,3835,3835,3835
5/12/2002,,4034.512416,3835,3835,3835
5/13/2002,3835,3835,3835,3835,3835
5/14/2002,3835,3835,3835,3835,3835
5/15/2002,3835,3835,3835,3835,3835
5/16/2002,3835,3835,3835,3835,3835
5/17/2002,3835,3835,3835,3835,3835
5/18/2002,,4034.512416,3835,3835,3835
5/19/2002,,4034.512416,3835,3835,3835
5/20/2002,3835,3835,3835,3835,3835
5/21/2002,3835,3835,3835,3835,3835
5/22/2002,3835,3835,3835,3835,3835
5/23/2002,3835,3835,3835,3835,3835
5/24/2002,3835,3835,3835,3835,3835
5/25/2002,,4034.512416,3835,3835,3835
5/26/2002,,4034.512416,3835,3835,3835
5/27/2002,3835,3835,3835,3835,3835
5/28/2002,3835,3835,3835,3835,3835
5/29/2002,3835,3835,3835,3835,3835
5/30/2002,3835,3835,3835,3835,3835
5/31/2002,3835,3835,3835,3835,3835
6/1/2002,,4034.512416,3835,3835,3835
6/2/2002,,4034.512416,3835,3835,3835
6/3/2002,3835,3835,3835,3835,3835
6/4/2002,3835,3835,3835,3835,3835
6/5/2002,3835,3835,3835,3835,3835
6/6/2002,3835,3835,3835,3835,3835
6/7/2002,3835,3835,3835,3835,3835
6/8/2002,,4034.512416,3835,3835,3835
6/9/2002,,4034.512416,3835,3835,3835
6/10/2002,3835,3835,3835,3835,3835
6/11/2002,3835,3835,3835,3835,3835
6/12/2002,3835,3835,3835,3835,3835
6/13/2002,3835,3835,3835,3835,3835
6/14/2002,3835,3835,3835,3835,3835
6/15/2002,,4034.512416,3835,3835,3835
6/16/2002,,4034.512416,3835,3835,3835
6/17/2002,3835,3835,3835,3835,3835
6/18/2002,3835,3835,3835,3835,3835
6/19/2002,3835,3835,3835,3835,3835
6/20/2002,3835,3835,3835,3835,3835
6/21/2002,3835,3835,3835,3835,3835
6/22/2002,,4034.512416,3835,3835,3835
6/23/2002,,4034.512416,3835,3835,3835
6/24/2002,3835,3835,3835,3835,3835
6/25/2002,3835,3835,3835,3835,3835
6/26/2002,3835,3835,3835,3835,3835
6/27/2002,3835,3835,3835,3835,3835
6/28/2002,3835,3835,3835,3835,3835
6/29/2002,,4034.512416,3835,3835,3835
6/30/2002,,4034.512416,3835,3835,3835
7/1/2002,3835,3835,3835,3835,3835
7/2/2002,3835,3835,3835,3835,3835
7/3/2002,3835,3835,3835,3835,3835
7/4/2002,3835,3835,3835,3835,3835
7/5/2002,3835,3835,3835,3835,3835
7/6/2002,,4034.512416,3835,3835,3835
7/7/2002,,4034.512416,3835,3835,3835
7/8/2002,3835,3835,3835,3835,3835
7/9/2002,3835,3835,3835,3835,3835
7/10/2002,3835,3835,3835,3835,3835
7/11/2002,3835,3835,3835,3835,3835
7/12/2002,3835,3835,3835,3835,3835
7/13/2002,,4034.512416,3835,3835,3835
7/14/2002,,4034.512416,3835,3835,3835
7/15/2002,3835,3835,3835,3835,3835
7/16/2002,3835,3835,3835,3835,3835
7/17/2002,3835,3835,3835,3835,3835
7/18/2002,3835,3835,3835,3835,3835
7/19/2002,3835,3835,3835,3835,3835
7/20/2002,,4034.512416,3835,3835,3835
7/21/2002,,4034.512416,3835,3835,3835
7/22/2002,3835,3835,3835,3835,3835
7/23/2002,3835,3835,3835,3835,3835
7/24/2002,3835,3835,3835,3835,3835
7/25/2002,3835,3835,3835,3835,3835
7/26/2002,3835,3835,3835,3835,3835
7/27/2002,,4034.512416,3835,3835,3835
7/28/2002,,4034.512416,3835,3835,3835
7/29/2002,3835,3835,3835,3835,3835
7/30/2002,3835,3835,3835,3835,3835
7/31/2002,3835,3835,3835,3835,3835
8/1/2002,3835,3835,3835,3835,3835
8/2/2002,3835,3835,3835,3835,3835
8/3/2002,,4034.512416,3835,3835,3835
8/4/2002,,4034.512416,3835,3835,3835
8/5/2002,3835,3835,3835,3835,3835
8/6/2002,3835,3835,3835,3835,3835
8/7/2002,3835,3835,3835,3835,3835
8/8/2002,3835,3835,3835,3835,3835
8/9/2002,3835,3835,3835,3835,3835
8/10/2002,,4034.512416,3835,3835,3835
8/11/2002,,4034.512416,3835,3835,3835
8/12/2002,3835,3835,3835,3835,3835
8/13/2002,3835,3835,3835,3835,3835
8/14/2002,3835,3835,3835,3835,3835
8/15/2002,3835,3835,3835,3835,3835
8/16/2002,3835,3835,3835,3835,3835
8/17/2002,,4034.512416,3835,3835,3835
8/18/2002,,4034.512416,3835,3835,3835
8/19/2002,3835,3835,3835,3835,3835
8/20/2002,3835,3835,3835,3835,3835
8/21/2002,3835,3835,3835,3835,3835
8/22/2002,3835,3835,3835,3835,3835
8/23/2002,3835,3835,3835,3835,3835
8/24/2002,,4034.512416,3835,3835,3835
8/25/2002,,4034.512416,3835,3835,3835
8/26/2002,3835,3835,3835,3835,3835
8/27/2002,3835,3835,3835,3835,3835
8/28/2002,3835,3835,3835,3835,3835
8/29/2002,3835,3835,3835,3835,3835
8/30/2002,3835,3835,3835,3835,3835
8/31/2002,,4034.512416,3835,3835,3835
9/1/2002,,4034.512416,3835,3835,3835
9/2/2002,3835,3835,3835,3835,3835
9/3/2002,3835,3835,3835,3835,3835
9/4/2002,3835,3835,3835,3835,3835
9/5/2002,3835,3835,3835,3835,3835
9/6/2002,3835,3835,3835,3835,3835
9/7/2002,,4034.512416,3835,3835,3835
9/8/2002,,4034.512416,3835,3835,3835
9/9/2002,3835,3835,3835,3835,3835
9/10/2002,3835,3835,3835,3835,3835
9/11/2002,3835,3835,3835,3835,3835
9/12/2002,3835,3835,3835,3835,3835
9/13/2002,3835,3835,3835,3835,3835
9/14/2002,,4034.512416,3835,3835,3835
9/15/2002,,4034.512416,3835,3835,3835
9/16/2002,3835,3835,3835,3835,3835
9/17/2002,3835,3835,3835,3835,3835
9/18/2002,3835,3835,3835,3835,3835
9/19/2002,3835,3835,3835,3835,3835
9/20/2002,3835,3835,3835,3835,3835
9/21/2002,,4034.512416,3835,3835,3835
9/22/2002,,4034.512416,3835,3835,3835
9/23/2002,3835,3835,3835,3835,3835
9/24/2002,3835,3835,3835,3835,3835
9/25/2002,3835,3835,3835,3835,3835
9/26/2002,3835,3835,3835,3835,3835
9/27/2002,3835,3835,3835,3835,3835
9/28/2002,,4034.512416,3835,3835,3835
9/29/2002,,4034.512416,3835,3835,3835
9/30/2002,3835,3835,3835,3835,3835
10/1/2002,3835,3835,3835,3835,3835
10/2/2002,3835,3835,3835,3835,3835
10/3/2002,3835,3835,3835,3835,3835
10/4/2002,3835,3835,3835,3835,3835
10/5/2002,,4034.512416,3835,3835,3835
10/6/2002,,4034.512416,3835,3835,3835
10/7/2002,3835,3835,3835,3835,3835
10/8/2002,3835,3835,3835,3835,3835
10/9/2002,3835,3835,3835,3835,3835
10/10/2002,3835,3835,3835,3835,3835
10/11/2002,3835,3835,3835,3835,3835
10/12/2002,,4034.512416,3835,3835,3835
10/13/2002,,4034.512416,3835,3835,3835
10/14/2002,3835,3835,3835,3835,3835
10/15/2002,3835,3835,3835,3835,3835
10/16/2002,3835,3835,3835,3835,3835
10/17/2002,3835,3835,3835,3835,3835
10/18/2002,3835,3835,3835,3835,3835
10/19/2002,,4034.512416,3835,3835,3835
10/20/2002,,4034.512416,3835,3835,3835
10/21/2002,3835,3835,3835,3835,3835
10/22/2002,3835,3835,3835,3835,3835
10/23/2002,3835,3835,3835,3835,3835
10/24/2002,3835,3835,3835,3835,3835
10/25/2002,3835,3835,3835,3835,3835
10/26/2002,,4034.512416,3835,3835,3835
10/27/2002,,4034.512416,3835,3835,3835
10/28/2002,3835,3835,3835,3835,3835
10/29/2002,3835,3835,3835,3835,3835
10/30/2002,3835,3835,3835,3835,3835
10/31/2002,3835,3835,3835,3835,3835
11/1/2002,3835,3835,3835,3835,3835
11/2/2002,,4034.512416,3835,3835,3835
11/3/2002,,4034.512416,3835,3835,3835
11/4/2002,3835,3835,3835,3835,3835
11/5/2002,3835,3835,3835,3835,3835
11/6/2002,3835,3835,3835,3835,3835
11/7/2002,3835,3835,3835,3835,3835
11/8/2002,3835,3835,3835,3835,3835
11/9/2002,,4034.512416,3835,3835,3835
11/10/2002,,4034.512416,3835,3835,3835
11/11/2002,3835,3835,3835,3835,3835
11/12/2002,3835,3835,3835,3835,3835
11/13/2002,3835,3835,3835,3835,3835
11/14/2002,3835,3835,3835,3835,3835
11/15/2002,3835,3835,3835,3835,3835
11/16/2002,,4034.512416,3835,3835,3835
11/17/2002,,4034.512416,3835,3835,3835
11/18/2002,3835,3835,3835,3835,3835
11/19/2002,3835,3835,3835,3835,3835
11/20/2002,3835,3835,3835,3835,3835
11/21/2002,3835,3835,3835,3835,3835
11/22/2002,3835,3835,3835,3835,3835
11/23/2002,,4034.512416,3835,3835,3835
11/24/2002,,4034.512416,3835,3835,3835
11/25/2002,3835,3835,3835,3835,3835
11/26/2002,3835,3835,3835,3835,3835
11/27/2002,3835,3835,3835,3835,3835
11/28/2002,3835,3835,3835,3835,3835
11/29/2002,3835,3835,3835,3835,3835
11/30/2002,,4034.512416,3835,3835,3835
12/1/2002,,4034.512416,3835,3835,3835
12/2/2002,3835,3835,3835,3835,3835
12/3/2002,3835,3835,3835,3835,3835
12/4/2002,3835,3835,3835,3835,3835
12/5/2002,3835,3835,3835,3835,3835
12/6/2002,3835,3835,3835,3835,3835
12/7/2002,,4034.512416,3835,3835,3835
12/8/2002,,4034.512416,3835,3835,3835
12/9/2002,3835,3835,3835,3835,3835
12/10/2002,3835,3835,3835,3835,3835
12/11/2002,3835,3835,3835,3835,3835
12/12/2002,3835,3835,3835,3835,3835
12/13/2002,3835,3835,3835,3835,3835
12/14/2002,,4034.512416,3835,3835,3835
12/15/2002,,4034.512416,3835,3835,3835
12/16/2002,3835,3835,3835,3835,3835
12/17/2002,3835,3835,3835,3835,3835
12/18/2002,3835,3835,3835,3835,3835
12/19/2002,3835,3835,3835,3835,3835
12/20/2002,3835,3835,3835,3835,3835
12/21/2002,,4034.512416,3835,3835,3835
12/22/2002,,4034.512416,3835,3835,3835
12/23/2002,3835,3835,3835,3835,3835
12/24/2002,3835,3835,3835,3835,3835
12/25/2002,3835,3835,3835,3835,3835
12/26/2002,3835,3835,3835,3835,3835
12/27/2002,3835,3835,3835,3835,3835
12/28/2002,,4034.512416,3835,3835,3835
12/29/2002,,4034.512416,3835,3835,3835
12/30/2002,3835,3835,3835,3835,3835
12/31/2002,3835,3835,3835,3835,3835
1/1/2003,3835,3835,3835,3835,3835
1/2/2003,3835,3835,3835,3835,3835
1/3/2003,3835,3835,3835,3835,3835
1/4/2003,,4034.512416,3835,3835,3835
1/5/2003,,4034.512416,3835,3835,3835
1/6/2003,3835,3835,3835,3835,3835
1/7/2003,3835,3835,3835,3835,3835
1/8/2003,3835,3835,3835,3835,3835
1/9/2003,3835,3835,3835,3835,3835
1/10/2003,3835,3835,3835,3835,3835
1/11/2003,,4034.512416,3835,3835,3835
1/12/2003,,4034.512416,3835,3835,3835
1/13/2003,3835,3835,3835,3835,3835
1/14/2003,3835,3835,3835,3835,3835
1/15/2003,3835,3835,3835,3835,3835
1/16/2003,3835,3835,3835,3835,3835
1/17/2003,3835,3835,3835,3835,3835
1/18/2003,,4034.512416,3835,3835,3835
1/19/2003,,4034.512416,3835,3835,3835
1/20/2003,3835,3835,3835,3835,3835
1/21/2003,3835,3835,3835,3835,3835
1/22/2003,3835,3835,3835,3835,3835
1/23/2003,3835,3835,3835,3835,3835
1/24/2003,3835,3835,3835,3835,3835
1/25/2003,,4034.512416,3835,3835,3835
1/26/2003,,4034.512416,3835,3835,3835
1/27/2003,3835,3835,3835,3835,3835
1/28/2003,3835,3835,3835,3835,3835
1/29/2003,3835,3835,3835,3835,3835
1/30/2003,3835,3835,3835,3835,3835
1/31/2003,3835,3835,3835,3835,3835
2/1/2003,,4034.512416,3835,3835,3835
2/2/2003,,4034.512416,3835,3835,3835
2/3/2003,3835,3835,3835,3835,3835
2/4/2003,3835,3835,3835,3835,3835
2/5/2003,3835,3835,3835,3835,3835
2/6/2003,3835,3835,3835,3835,3835
2/7/2003,3835,3835,3835,3835,3835
2/8/2003,,4034.512416,3835,3835,3835
2/9/2003,,4034.512416,3835,3835,3835
2/10/2003,3835,3835,3835,3835,3835
2/11/2003,3835,3835,3835,3835,3835
2/12/2003,3835,3835,3835,3835,3835
2/13/2003,3835,3835,3835,3835,3835
2/14/2003,3835,3835,3835,3835,3835
2/15/2003,,4034.512416,3835,3835,3835
2/16/2003,,4034.512416,3835,3835,3835
2/17/2003,3835,3835,3835,3835,3835
2/18/2003,3835,3835,3835,3835,3835
2/19/2003,3835,3835,3835,3835,3835
2/20/2003,3835,3835,3835,3835,3835
2/21/2003,3835,3835,3835,3835,3835
2/22/2003,,4034.512416,3835,3835,3835
2/23/2003,,4034.512416,3835,3835,3835
2/24/2003,3835,3835,3835,3835,3835
2/25/2003,3835,3835,3835,3835,3835
2/26/2003,3835,3835,3835,3835,3835
2/27/2003,3835,3835,3835,3835,3835
2/28/2003,3835,3835,3835,3835,3835
3/1/2003,,4034.512416,3835,3835,3835
3/2/2003,,4034.512416,3835,3835,3835
3/3/2003,3835,3835,3835,3835,3835
3/4/2003,3835,3835,3835,3835,3835
3/5/2003,3835,3835,3835,3835,3835
3/6/2003,3835,3835,3835,3835,3835
3/7/2003,3835,3835,3835,3835,3835
3/8/2003,,4034.512416,3835,3835,3835
3/9/2003,,4034.512416,3835,3835,3835
3/10/2003,3835,3835,3835,3835,3835
3/11/2003,3835,3835,3835,3835,3835
3/12/2003,3835,3835,3835,3835,3835
3/13/2003,3835,3835,3835,3835,3835
3/14/2003,3835,3835,3835,3835,3835
3/15/2003,,4034.512416,3835,3835,3835
3/16/2003,,4034.512416,3835,3835,3835
3/17/2003,3835,3835,3835,3835,3835
3/18/2003,3835,3835,3835,3835,3835
3/19/2003,3835,3835,3835,3835,3835
3/20/2003,3835,3835,3835,3835,3835
3/21/2003,3835,3835,3835,3835,3835
3/22/2003,,4034.512416,3835,3835,3835
3/23/2003,,4034.512416,3835,3835,3835
3/24/2003,3835,3835,3835,3835,3835
3/25/2003,3835,3835,3835,3835,3835
3/26/2003,3835,3835,3835,3835,3835
3/27/2003,3835,3835,3835,3835,3835
3/28/2003,3835,3835,3835,3835,3835
3/29/2003,,4034.512416,3835,3835,3835
3/30/2003,,4034.512416,3835,3835,3835
3/31/2003,3835,3835,3835,3835,3835
4/1/2003,3835,3835,3835,3835,3835
4/2/2003,3835,3835,3835,3835,3835
4/3/2003,3835,3835,3835,3835,3835
4/4/2003,3835,3835,3835,3835,3835
4/5/2003,,4034.512416,3835,3835,3835
4/6/2003,,4034.512416,3835,3835,3835
4/7/2003,3835,3835,3835,3835,3835
4/8/2003,3835,3835,3835,3835,3835
4/9/2003,3835,3835,3835,3835,3835
4/10/2003,3835,3835,3835,3835,3835
4/11/2003,3835,3835,3835,3835,3835
4/12/2003,,4034.512416,3835,3835,3835
4/13/2003,,4034.512416,3835,3835,3835
4/14/2003,3835,3835,3835,3835,3835
4/15/2003,3835,3835,3835,3835,3835
4/16/2003,3835,3835,3835,3835,3835
4/17/2003,3835,3835,3835,3835,3835
4/18/2003,3835,3835,3835,3835,3835
4/19/2003,,4034.512416,3835,3835,3835
4/20/2003,,4034.512416,3835,3835,3835
4/21/2003,3835,3835,3835,3835,3835
4/22/2003,3835,3835,3835,3835,3835
4/23/2003,3835,3835,3835,3835,3835
4/24/2003,3835,3835,3835,3835,3835
4/25/2003,3835,3835,3835,3835,3835
4/26/2003,,4034.512416,3835,3835,3835
4/27/2003,,4034.512416,3835,3835,3835
4/28/2003,3835,3835,3835,3835,3835
4/29/2003,3835,3835,3835,3835,3835
4/30/2003,3835,3835,3835,3835,3835
5/1/2003,3835,3835,3835,3835,3835
5/2/2003,3835,3835,3835,3835,3835
5/3/2003,,4034.512416,3835,3835,3835
5/4/2003,,4034.512416,3835,3835,3835
5/5/2003,3835,3835,3835,3835,3835
5/6/2003,3835,3835,3835,3835,3835
5/7/2003,3835,3835,3835,3835,3835
5/8/2003,3835,3835,3835,3835,3835
5/9/2003,3835,3835,3835,3835,3835
5/10/2003,,4034.512416,3835,3835,3835
5/11/2003,,4034.512416,3835,3835,3835
5/12/2003,3835,3835,3835,3835,3835
5/13/2003,3835,3835,3835,3835,3835
5/14/2003,3835,3835,3835,3835,3835
5/15/2003,3835,3835,3835,3835,3835
5/16/2003,3835,3835,3835,3835,3835
5/17/2003,,4034.512416,3835,3835,3835
5/18/2003,,4034.512416,3835,3835,3835
5/19/2003,3835,3835,3835,3835,3835
5/20/2003,3835,3835,3835,3835,3835
5/21/2003,3835,3835,3835,3835,3835
5/22/2003,3835,3835,3835,3835,3835
5/23/2003,3835,3835,3835,3835,3835
5/24/2003,,4034.512416,3835,3835,3835
5/25/2003,,4034.512416,3835,3835,3835
5/26/2003,3835,3835,3835,3835,3835
5/27/2003,3835,3835,3835,3835,3835
5/28/2003,3835,3835,3835,3835,3835
5/29/2003,3835,3835,3835,3835,3835
5/30/2003,3835,3835,3835,3835,3835
5/31/2003,,4034.512416,3835,3835,3835
6/1/2003,,4034.512416,3835,3835,3835
6/2/2003,3835,3835,3835,3835,3835
6/3/2003,3835,3835,3835,3835,3835
6/4/2003,3835,3835,3835,3835,3835
6/5/2003,3835,3835,3835,3835,3835
6/6/2003,3835,3835,3835,3835,3835
6/7/2003,,4034.512416,3835,3835,3835
6/8/2003,,4034.512416,3835,3835,3835
6/9/2003,3835,3835,3835,3835,3835
6/10/2003,3835,3835,3835,3835,3835
6/11/2003,3835,3835,3835,3835,3835
6/12/2003,3835,3835,3835,3835,3835
6/13/2003,3835,3835,3835,3835,3835
6/14/2003,,4034.512416,3835,3835,3835
6/15/2003,,4034.512416,3835,3835,3835
6/16/2003,3835,3835,3835,3835,3835
6/17/2003,3835,3835,3835,3835,3835
6/18/2003,3835,3835,3835,3835,3835
6/19/2003,3835,3835,3835,3835,3835
6/20/2003,,4034.512416,3835,3835,3835
6/21/2003,,4034.512416,3835,3835,3835
6/22/2003,,4034.512416,3835,3835,3835
6/23/2003,,4034.512416,3835,3835,3835
6/24/2003,,4034.512416,3835,3835,3835
6/25/2003,,4034.512416,3835,3835,3835
6/26/2003,,4034.512416,3835,3835,3835
6/27/2003,,4034.512416,3835,3835,3835
6/28/2003,,4034.512416,3835,3835,3835
6/29/2003,,4034.512416,3835,3835,3835
6/30/2003,,4034.512416,3835,3835,3835
7/1/2003,,4034.512416,3835,3835,3835
7/2/2003,,4034.512416,3835,3835,3835
7/3/2003,,4034.512416,3835,3835,3835
7/4/2003,,4034.512416,3835,3835,3835
7/5/2003,,4034.512416,3835,3835,3835
7/6/2003,,4034.512416,3835,3835,3835
7/7/2003,,4034.512416,3835,3835,3835
7/8/2003,,4034.512416,3835,3835,3835
7/9/2003,,4034.512416,3835,3835,3835
7/10/2003,,4034.512416,3835,3835,3835
7/11/2003,,4034.512416,3835,3835,3835
7/12/2003,,4034.512416,3835,3835,3835
7/13/2003,,4034.512416,3835,3835,3835
7/14/2003,,4034.512416,3835,3835,3835
7/15/2003,,4034.512416,3835,3835,3835
7/16/2003,,4034.512416,3835,3835,3835
7/17/2003,,4034.512416,3835,3835,3835
7/18/2003,,4034.512416,3835,3835,3835
7/19/2003,,4034.512416,3835,3835,3835
7/20/2003,,4034.512416,3835,3835,3835
7/21/2003,,4034.512416,3835,3835,3835
7/22/2003,,4034.512416,3835,3835,3835
7/23/2003,,4034.512416,3835,3835,3835
7/24/2003,,4034.512416,3835,3835,3835
7/25/2003,,4034.512416,3835,3835,3835
7/26/2003,,4034.512416,3835,3835,3835
7/27/2003,,4034.512416,3835,3835,3835
7/28/2003,,4034.512416,3835,3835,3835
7/29/2003,,4034.512416,3835,3835,3835
7/30/2003,,4034.512416,3835,3835,3835
7/31/2003,,4034.512416,3835,3835,3835
8/1/2003,,4034.512416,3835,3835,3835
8/2/2003,,4034.512416,3835,3835,3835
8/3/2003,,4034.512416,3835,3835,3835
8/4/2003,,4034.512416,3835,3835,3835
8/5/2003,,4034.512416,3835,3835,3835
8/6/2003,,4034.512416,3835,3835,3835
8/7/2003,,4034.512416,3835,3835,3835
8/8/2003,,4034.512416,3835,3835,3835
8/9/2003,,4034.512416,3835,3835,3835
8/10/2003,,4034.512416,3835,3835,3835
8/11/2003,,4034.512416,3835,3835,3835
8/12/2003,,4034.512416,3835,3835,3835
8/13/2003,,4034.512416,3835,3835,3835
8/14/2003,,4034.512416,3835,3835,3835
8/15/2003,,4034.512416,3835,3835,3835
8/16/2003,,4034.512416,3835,3835,3835
8/17/2003,,4034.512416,3835,3835,3835
8/18/2003,,4034.512416,3835,3835,3835
8/19/2003,,4034.512416,3835,3835,3835
8/20/2003,,4034.512416,3835,3835,3835
8/21/2003,,4034.512416,3835,3835,3835
8/22/2003,,4034.512416,3835,3835,3835
8/23/2003,,4034.512416,3835,3835,3835
8/24/2003,,4034.512416,3835,3835,3835
8/25/2003,,4034.512416,3835,3835,3835
8/26/2003,,4034.512416,3835,3835,3835
8/27/2003,,4034.512416,3835,3835,3835
8/28/2003,,4034.512416,3835,3835,3835
8/29/2003,,4034.512416,3835,3835,3835
8/30/2003,,4034.512416,3835,3835,3835
8/31/2003,,4034.512416,3835,3835,3835
9/1/2003,,4034.512416,3835,3835,3835
9/2/2003,,4034.512416,3835,3835,3835
9/3/2003,,4034.512416,3835,3835,3835
9/4/2003,,4034.512416,3835,3835,3835
9/5/2003,,4034.512416,3835,3835,3835
9/6/2003,,4034.512416,3835,3835,3835
9/7/2003,,4034.512416,3835,3835,3835
9/8/2003,,4034.512416,3835,3835,3835
9/9/2003,,4034.512416,3835,3835,3835
9/10/2003,,4034.512416,3835,3835,3835
9/11/2003,,4034.512416,3835,3835,3835
9/12/2003,,4034.512416,3835,3835,3835
9/13/2003,,4034.512416,3835,3835,3835
9/14/2003,,4034.512416,3835,3835,3835
9/15/2003,,4034.512416,3835,3835,3835
9/16/2003,,4034.512416,3835,3835,3835
